product_name,supplier_item_code,detail_url,image_url,page_number,taxonomy_label,match_type,match_confidence
Farola Izquierdo Para Hyundai Gyro Modelos 2003 A 2006 Sm,3052,https://www.partcar.com.co/importacion-1/farola-hyundai-gyro-2003%E2%80%932006-izquierdo-sm,https://www.autolatas.co/cat/3052.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Hyundai Accent Modelos 1998 A 2005 Depo,3044,https://www.partcar.com.co/importacion-1/farola-hyundai-accent-1998%E2%80%932005-derecho-depo,https://www.autolatas.co/cat/3044.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Hyundai Accent Modelos 1998 A 2005 Depo,3043,https://www.partcar.com.co/importacion-1/farola-hyundai-accent-1998%E2%80%932005-izquierdo-depo,https://www.autolatas.co/cat/3043.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Hyundai Accent Modelos 1995 A 1996 Depo,3042,https://www.partcar.com.co/importacion-1/farola-hyundai-accent-1995%E2%80%931996-derecho-depo,https://www.autolatas.co/cat/3042.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Hyundai Accent Modelos 1995 A 1996 Depo,3041,https://www.partcar.com.co/importacion-1/farola-hyundai-accent-1995%E2%80%931996-izquierdo-depo,https://www.autolatas.co/cat/3041.jpg,2,lighting_headlamps,category_only,medium
Farola Derecha Para Ford Fiesta Modelos 1996 A 1999 Tyc,3018,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-1996%E2%80%931999-derecha-tyc,https://www.autolatas.co/cat/3018.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Ford Fiesta Modelos 1996 A 1999 Tyc,3017,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-1996%E2%80%931999-izquierdo-tyc,https://www.autolatas.co/cat/3017.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Ford Fiesta Modelos 2008 A 2010 Tyc,3016,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-2008%E2%80%932010-derecho-tyc,https://www.autolatas.co/cat/3016.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierda Para Ford Fiesta Modelos 2008 A 2010 Tyc,3015,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-2008%E2%80%932010-izquierda-tyc,https://www.autolatas.co/cat/3015.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Ford Fiesta Modelos 2004 A 2007 Tyc,3014,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-2004%E2%80%932007-derecho-tyc,https://www.autolatas.co/cat/3014.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Ford Fiesta Modelos 2004 A 2007 Tyc,3013,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-2004%E2%80%932007-izquierdo-tyc,https://www.autolatas.co/cat/3013.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Ford Fiesta Modelos 2004 A 2007 Depo,3012,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-2004%E2%80%932007-derecho-depo,https://www.autolatas.co/cat/3012.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Ford Fiesta Modelos 2004 A 2007 Depo,3011,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-2004%E2%80%932007-izquierdo-depo,https://www.autolatas.co/cat/3011.jpg,2,lighting_headlamps,category_only,medium
Farola Derecha Para Ford Fiesta Modelos 2001 A 2003 Tyc,3010,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-2001%E2%80%932003-derecha-tyc,https://www.autolatas.co/cat/3010.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Ford Fiesta Modelos 2001 A 2003 Tyc,3009,https://www.partcar.com.co/importacion-1/farola-ford-fiesta-2001%E2%80%932003-izquierdo-tyc,https://www.autolatas.co/cat/3009.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Ford Ecosport Modelos 2008 A 2012 Tyc,2996,https://www.partcar.com.co/importacion-1/farola-ford-ecosport-2008%E2%80%932012-derecho-tyc,https://www.autolatas.co/cat/2996.jpg,2,lighting_headlamps,category_only,medium
Farola Derecha Para Ford Ecosport Modelos 2004 A 2008 Tyc,2993,https://www.partcar.com.co/importacion-1/farola-ford-ecosport-2004%E2%80%932008-derecha-tyc,https://www.autolatas.co/cat/2993.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Ford Ecosport Modelos 2004 A 2008 Tyc,2992,https://www.partcar.com.co/importacion-1/farola-ford-ecosport-2004%E2%80%932008-izquierdo-tyc,https://www.autolatas.co/cat/2992.jpg,2,lighting_headlamps,category_only,medium
