product_id,product_name,product_url,price_current,price_original,brand,reference,sku,category_name,subcategory_name,match_type,match_confidence,requires_manual_confirmation
23881,"Kit Pito 12V Universal Tipo Disco – 92mm, Doble Tono 420/350Hz",https://parrales.com.co/product/pito-12v-disco-h42020hz-l35020hz-92mm-jgox2-vkh-502jn-502red0709081/,40000,75000,"VEKTRA REF:VKH-502,JN-502RED,0709081 EMPAQUE: 2 UNIDADES HERTZ:H:420*20HZ L:350*20HZ VOLTAJE: 12V MEDIDAS: 92MM","VKH-502,JN-502RED,0709081",VKH-502,Pitos,De Disco,exact_reference,high,False
23877,KIT PITO CORNETA OREJA PERRO UNIDAD,https://parrales.com.co/product/pito-12v-corneta-oreja-perro-unidad-vkh1402-vektra-2-general/,45000,60000,VEKTRA REF: VKH1402 VOLTAJE: 12,VKH1402,,Pitos,Cornetas,exact_reference,high,False
,KIT PITO DE DISCO VEKTRA,https://parrales.com.co/product/pito-12v-disco-rojo-h42020hz-l35020hz-92mm-jgox2-vkh-502-r/,60000,75000,VEKTRA REF: VKH-502-R HERTZ: H:420*20HZ – L:350*20HZ MEDIDA: 92MM VOLTAJE: 12V COLORES: ROJO Y NARANJA,VKH-502-R,,Pitos,De Disco,exact_reference,high,False
23837,PITO 12/60V/102DB REVERSA GPM 222-020,https://parrales.com.co/product/pito-12-60v-102db-reversa-gpm-222-020/,36345,,,,,Pitos,De Reversa,manual_confirmation_required,low,True
23814,PITO 12V CORNETA FARA TRIPLE TON- O CONMUTACION 600/765/810 HZ 3PD 003 001-981,https://parrales.com.co/product/pito-12v-corneta-fara-triple-ton-o-conmutacion-600-765-810-hz-3pd-003-001-981/,171410,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23865,"PITO 12V CORNETA FARA TRIPLE TONO 600/765/810HZ VKH-1903,JN-1903-12V,0709",https://parrales.com.co/product/pito-12v-corneta-fara-triple-tono-600-765-810hz-vkh-1903jn-1903-12v0709/,91025,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23840,PITO 12V CORNETA NEGRO 510 HZ 80MM JGOX2 222-021,https://parrales.com.co/product/pito-12v-corneta-negro-510-hz-80mm-jgox2-222-021/,41236,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23816,"PITO 12V CORNETA NEGRO UNIDAD 3FG 011 225-171,408230080",https://parrales.com.co/product/pito-12v-corneta-negro-unidad-3fg-011-225-171408230080/,20412,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23819,"PITO 12V CORNETA OREJA DE PERRO – CROMADA 007728883,8886454030099",https://parrales.com.co/product/pito-12v-corneta-oreja-de-perro-cromada-0077288838886454030099/,91357,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23821,"PITO 12V CORNETA OREJA DE PERRO – NEGRO CAJA X 27 011225831,4082300397093",https://parrales.com.co/product/pito-12v-corneta-oreja-de-perro-negro-caja-x-27-0112258314082300397093/,48754,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23823,"PITO 12V CORNETA OREJA DE PERRO – ROJO+RELE 012010981,4082300618143",https://parrales.com.co/product/pito-12v-corneta-oreja-de-perro-rojorele-0120109814082300618143/,56248,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23867,PITO 12V CORNETA OREJA DE PERRO NEGRO H:500*20HZ L:400*20 HZ 85MM JGOX2,https://parrales.com.co/product/pito-12v-corneta-oreja-de-perro-negro-h50020hz-l40020-hz-85mm-jgox2/,27982,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23842,PITO 12V CORNETA OREJA DE PERRO NEGRO JGOX2 222-001,https://parrales.com.co/product/pito-12v-corneta-oreja-de-perro-negro-jgox2-222-001/,39985,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23869,"PITO 12V CORNETA OREJA DE PERRO TW JUEGOX2 DL1400K,022000201",https://parrales.com.co/product/pito-12v-corneta-oreja-de-perro-tw-juegox2-dl1400k022000201/,31002,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23873,"PITO 12V CORNETA OREJA PERRO CONRELE H:510*20HZ L:410*20HZ 92MMJGOX2 VKH-1402,JN-1402,07090810",https://parrales.com.co/product/pito-12v-corneta-oreja-perro-conrele-h51020hz-l41020hz-92mmjgox2-vkh-1402jn-140207090810/,31220,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23871,PITO 12V CORNETA OREJA PERRO ROJA H:510*20HZ L:410*20HZ 92MM JGOX2 VKH-1402B,https://parrales.com.co/product/pito-12v-corneta-oreja-perro-roja-h51020hz-l41020hz-92mm-jgox2-vkh-1402b/,30196,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23875,"PITO 12V CORNETA OREJA PERRO ROJO H:510*20HZ L:410*20HZ 92MM JGOX2 VKH-1402-B,JN-1402B,07090",https://parrales.com.co/product/pito-12v-corneta-oreja-perro-rojo-h51020hz-l41020hz-92mm-jgox2-vkh-1402-bjn-1402b07090/,32623,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23844,PITO 12V DE DISCO 350*400HZ JGOX2 222-006,https://parrales.com.co/product/pito-12v-de-disco-350400hz-jgox2-222-006/,35849,,,,,Pitos,De Disco,manual_confirmation_required,low,True
23846,PITO 12V DE DISCO 400HZ TONO ALTO 92MM NEGRO UNIDAD 222-016,https://parrales.com.co/product/pito-12v-de-disco-400hz-tono-alto-92mm-negro-unidad-222-016/,16111,,,,,Pitos,De Disco,manual_confirmation_required,low,True
23825,"PITO 12V DE DISCO 92 TONO ALTO-B- AJO NEGRO JGOX2 011225871,4082300397130",https://parrales.com.co/product/pito-12v-de-disco-92-tono-alto-b-ajo-negro-jgox2-0112258714082300397130/,57860,,,,,Pitos,De Disco,manual_confirmation_required,low,True
23848,PITO 12V DE DISCO COLORES 105DB-118DB ROJO/NARANJA JGOX2 222-018,https://parrales.com.co/product/pito-12v-de-disco-colores-105db-118db-rojo-naranja-jgox2-222-018/,34237,,,,,Pitos,De Disco,manual_confirmation_required,low,True
23850,PITO 12V DE DISCO MOTO 430HZ NEGRO 222-002,https://parrales.com.co/product/pito-12v-de-disco-moto-430hz-negro-222-002/,12558,,,,,Pitos,De Disco,manual_confirmation_required,low,True
23852,PITO 12V DE DISCO NEGRO 76MM JGOX2 222-022,https://parrales.com.co/product/pito-12v-de-disco-negro-76mm-jgox2-222-022/,32529,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23827,"PITO 12V DE DISCO TONO ALTO 400H- Z NEGRO UNIDAD 012588291,4082300815368",https://parrales.com.co/product/pito-12v-de-disco-tono-alto-400h-z-negro-unidad-0125882914082300815368/,24282,,,,,Pitos,De Disco,manual_confirmation_required,low,True
23829,"PITO 12V DE DISCO TONO ALTO 48W – 430HZ 3AL 012 588-351,408230082",https://parrales.com.co/product/pito-12v-de-disco-tono-alto-48w-430hz-3al-012-588-351408230082/,38539,,,,,Pitos,De Disco,manual_confirmation_required,low,True
23831,"PITO 12V DE DISCO TONO ALTO-BAJO- 335HZ*400HZ 9.8 CM NEGRO JGOX2 012588341,4082300815351",https://parrales.com.co/product/pito-12v-de-disco-tono-alto-bajo-335hz400hz-9-8-cm-negro-jgox2-0125883414082300815351/,65225,,,,,Pitos,De Disco,manual_confirmation_required,low,True
23854,PITO 12V REVERSA BEE/BEE CON LUZ 307-001-12V KTC,https://parrales.com.co/product/pito-12v-reversa-bee-bee-con-luz-307-001-12v-ktc/,13285,,,,,Pitos,De Reversa,manual_confirmation_required,low,True
23833,"PITO 24V DE DISCO 92 NEGRO JGOX2 002768821,4082300558906",https://parrales.com.co/product/pito-24v-de-disco-92-negro-jgox2-0027688214082300558906/,70304,,,,,Pitos,De Disco,manual_confirmation_required,low,True
23856,PITO 24V REVERSA BEE /BEE 307-001-24V KTC,https://parrales.com.co/product/pito-24v-reversa-bee-bee-307-001-24v-ktc/,14364,,,,,Pitos,De Reversa,manual_confirmation_required,low,True
23857,PITO 24V REVERSA BEE/BEE 10W 307-004-24V,https://parrales.com.co/product/pito-24v-reversa-bee-bee-10w-307-004-24v/,18301,,,,,Pitos,De Reversa,manual_confirmation_required,low,True
23859,PITO 24V TONO ALTO 400HZ 92MM NEGRO UNIDAD 222-019,https://parrales.com.co/product/pito-24v-tono-alto-400hz-92mm-negro-unidad-222-019/,16614,,,,,Pitos,,manual_confirmation_required,low,True
23861,PITO 8/60V REVERSA 110DB T.POLLAK PESADO 222-014,https://parrales.com.co/product/pito-8-60v-reversa-110db-t-pollak-pesado-222-014/,42072,,,,,Pitos,De Reversa,manual_confirmation_required,low,True
,PITO BEEP BEEP REVERSA CON LUCES,https://parrales.com.co/product/pito-12v-reversa-iluminado-es-109022-0046-01-vektra/,25000,40000,"VEKTRA REF: ES-109,022.0046.01 FUNCION: ALARMA CON LUCES","ES-109,022.0046.01","ES-109,022.0046.01",Pitos,De Reversa,exact_reference,high,False
23863,PITO CORNETA DE AIRE DOBLE 125*165MM CON VALVULA 12V/24V 1PCS 309-100,https://parrales.com.co/product/pito-corneta-de-aire-doble-125165mm-con-valvula-12v-24v-1pcs-309-100/,74643,,,,,Pitos,Cornetas,manual_confirmation_required,low,True
23879,PITO DE DISCO MOTO VEKTRA,https://parrales.com.co/product/pito-12v-de-disco-h45020hz-l37020hz-70mm-moto-vkh-101ajn-101a07090810/,5232,,"VEKTRA REF:VKH-101A,JN-101A,07090810 HERTZ: H:450*20HZ L:370*20HZ VOLTAJE: 12V MEDIDA: 70MM APLICACION: MOTO","VKH-101A,JN-101A,07090810",,Pitos,De Disco,exact_reference,high,False
23883,Pito de Disco Vektra 12V para Moto – Bocina Doble Tono 92mm VKH-502-H,https://parrales.com.co/product/pito-12v-disco-h42020hz-l350-20hz-92mm-unidad-vkh-502-hjn-502h0709081-vektra/,30000,50000,Vektra,VKH-502-H,,Pitos,De Disco,exact_reference,high,False
23835,"PITO DE REVERSA TIPO POLLAK 3SL 009 148-141,408230059",https://parrales.com.co/product/pito-de-reversa-tipo-pollak-3sl-009-148-141408230059/,45206,,,,,Pitos,De Reversa,manual_confirmation_required,low,True
23517,PLUMILLA 11 PULG METALICA JGOX2,https://parrales.com.co/product/plumilla-11-pulg-metalica-jgox2/,32125,,Hella,,,Plumillas Limpiaparabrisas,Metalicas,manual_confirmation_required,low,True
23519,PLUMILLA 16 PULG METALICA JGOX2,https://parrales.com.co/product/plumilla-16-pulg-metalica-jgox2/,28020,,Hella,,,Plumillas Limpiaparabrisas,Metalicas,manual_confirmation_required,low,True
23502,PLUMILLA 18 PULG AERODINAMICA CO- N 8 ADAPTADORES 1PCS,https://parrales.com.co/product/plumilla-18-pulg-aerodinamica-co-n-8-adaptadores-1pcs/,18509,,KTC,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23504,PLUMILLA 20 PULG AERODINAMICA CO- N 8 ADAPTADORES 1PCS,https://parrales.com.co/product/plumilla-20-pulg-aerodinamica-co-n-8-adaptadores-1pcs/,17899,,KTC,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23521,PLUMILLA 22 PULG METALICA JGOX2,https://parrales.com.co/product/plumilla-22-pulg-metalica-jgox2/,37890,,Hella,,,Plumillas Limpiaparabrisas,Metalicas,manual_confirmation_required,low,True
23506,PLUMILLA AEROD. 12 PULG SOPORTE – METALICO JGOX2,https://parrales.com.co/product/plumilla-aerod-12-pulg-soporte-metalico-jgox2/,12224,,Vektra,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23508,PLUMILLA AEROD. 12 PULG SOPORTE – METALICO UNIDAD,https://parrales.com.co/product/plumilla-aerod-12-pulg-soporte-metalico-unidad/,4682,,Vektra,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23510,PLUMILLA AEROD. 14 PULG SOPORTE – METALICO JGOX2,https://parrales.com.co/product/plumilla-aerod-14-pulg-soporte-metalico-jgox2/,12929,,Vektra,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23496,PLUMILLA AEROD. 14PULG JGO X 2,https://parrales.com.co/product/plumilla-aerod-14pulg-jgo-x-2/,52412,,Hella,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23498,PLUMILLA AEROD. 16 PULG JGOX2,https://parrales.com.co/product/plumilla-aerod-16-pulg-jgox2/,55277,,Hella,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
